Title,Year,IMDb Rating,Duration,Genres,Synopsis,Cast,Director,Providers,Link
Hamnet(2025),(2025),7.9 (93k),2h 6min,"Drama, History, Romance","After her son Hamnet dies, aged eleven, Agnes Shakespeare is struck with intense grief. As she mourns with her husband William, the pair struggle to come to terms with the frailty of life and the ruthlessness of the plague. Set in 16th-century England, Agnes, a healer by trade, must find a way to move on with her life and provide for her other children, Judith and Susanna.","Jessie Buckley, Paul Mescal, Emily Watson, Joe Alwyn, Jacobi Jupe, Noah Jupe, Justine Mitchell, David Wilmot, Louisa Harland, Freya Hannan-Mills, Dainton Anderson, Elliot Baxter, Smylie Bradwell, John Mackay, Sam Woolf, Jack Shalloo, Shaun Mason, Matthew Tennyson, Clay Milner-Russell, Javier Marzan",Chloé Zhao,"Amazon Video, Apple TV Store, Peacock Premium, Peacock Premium Plus, Apple TV, Amazon Video, Apple TV Store, Fandango At Home, FlixFling, Amazon Video, Apple TV Store, Fandango At Home, Peacock Premium, Barnes & Noble, Fandango, Atom Tickets, Harkins Theatres, Marcus Theatres, Barnes & Noble, GRUV, Amazon DVD / Blu-ray, Barnes & Noble, Amazon DVD / Blu-ray, Barnes & Noble, Amazon DVD / Blu-ray",https://www.justwatch.com/us/movie/hamnet
The Secret Agent(2025),(2025),7.2 (46k),2h 41min,"Mystery & Thriller, Drama, Crime","In the midst of a military dictatorship, Marcelo, a former technology teacher, is on the run across Brazil trying to find his son. He relocates from São Paulo to Recife to begin his life again but finds that spies are around him everywhere. Embedding himself in the resistance movement, Marcelo is being hunted by assassins, and as he tries to flee the country, he begins to learn who can be trusted and who cannot.","Wagner Moura, Alice Carvalho, Maria Fernanda Cândido, Gabriel Leone, Udo Kier, Carlos Francisco, Thomás Aquino, Hermila Guedes, Robério Diógenes, Roney Villela, Isabél Zuaa, Isadora Ruppert, Igor de Araújo, Ítalo Martins, João Vitor Silva, Luciano Chirolli, Geane Albuquerque, Aline Marta, Suzy Lopes, Gregorio Graziosi",Kleber Mendonça Filho,"Amazon Video, Hulu, Hulu, Amazon Video, Hulu, Apple TV Store, Fandango At Home, Plex, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch",https://www.justwatch.com/us/movie/the-secret-agent-2025
Sentimental Value(2025),(2025),7.8 (65k),2h 13min,"Mystery & Thriller, Drama, Crime","Estranged sisters reconnect with their elusive father, a once-famous director, as he attempts to revive his career and heal their fractured family by filming a deeply personal story rooted in generational trauma.","Renate Reinsve, Stellan Skarsgård, Inga Ibsdotter Lilleaas, Elle Fanning, Anders Danielsen Lie, Jesper Christensen, Lena Endre, Cory Michael Smith, Catherine Cohen, Andreas Stoltenberg Granerud, Øyvind Hesjedal Loven, Lars Väringer, Ida Marianne Vassbotn Klasson, Vilde Søyland, Mari Strand Ferstad, Julia Küster, Ingunn Beate Øyen, Pia Borgli, Gard Løkke, Amalie Ibsen Jensen",Joachim Trier,"Amazon Video, Hulu, Hulu, Amazon Video, Hulu, Apple TV Store, Fandango At Home, Plex, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, Fandango, Amazon DVD / Blu-ray",https://www.justwatch.com/us/movie/sentimental-value
Project Hail Mary(2026),(2026),8.5 (33k),2h 37min,"Science-Fiction, Action & Adventure, Drama, Mystery & Thriller","When Ryland Grace wakes up, he’s on a spaceship light-years from Earth with no memory of his past. Alone, he slowly begins to piece together his mission and comes to understand that the future of humanity relies on him solving the mystery of the sun’s declining strength. Far from everything he has ever known, this science teacher tasked with an impossible mission meets an unlikely companion who may be able to help.","Ryan Gosling, James Ortiz, Sandra Hüller, Lionel Boyce, Milana Vayntrub, Ken Leung, Priya Kansara, Mia Soteriou, Annelle Olaleye, Bastian Antonio Fuentes, Alice Brittain, Michael Akinsulire, Travis Jay, Geoffrey Lumb, Paul Lambert, Orion Lee, Aaron Neil, Michelle Greenidge, Bernhard Schütz, Amira Ghazalla",Phil Lord,"Fandango At Home, Apple TV, AMC Theatres, Fandango, Cinemark, Cinepolis Cinemas, Harkins Theatres",https://www.justwatch.com/us/movie/project-hail-mary
Marty Supreme(2025),(2025),7.8 (139k),2h 29min,"Sport, Drama, Mystery & Thriller","Marty Reisman was born in the 1930s in Manhattan New York and by the 1950s, he was already at the height of his career. Known as ‘the Needle’ because of his slight build, the ping pong star went on to win countless championships and continued to play well into his 60s. Known for his flamboyance and hustler lifestyle, Marty became a New York legend and this is the story of how.","Timothée Chalamet, Gwyneth Paltrow, Odessa A'zion, Kevin O'Leary, Tyler, The Creator, Fran Drescher, Abel Ferrara, Emory Cohen, Géza Röhrig, Larry Sloman, Ralph Colucci, George Gervin, Sandra Bernhard, John Catsimatidis, Nick Waplington, Nikhil Kumar, Conn Horgan, Timo Boll, Mahadeo Shivraj, John Keating",Josh Safdie,"Amazon Video, Apple TV Store, Amazon Video, Apple TV Store, Apple TV, Fandango At Home, FlixFling, Plex, Amazon Video, Apple TV Store, Fandango At Home, HBO Max, Fandango, Atom Tickets, Marcus Theatres, Amazon DVD / Blu-ray",https://www.justwatch.com/us/movie/marty-supreme
Ready or Not(2019),(2019),6.9 (235k),1h 35min,"Horror, Comedy, Action & Adventure, Mystery & Thriller","Grace is a young bride preparing for the wedding of her dreams with her soon-to-be husband, Alex Le Domas. On the night before her wedding, however, she enters into a disturbing family ritual in which her new in-laws hunt her throughout the night. As she hides in the forest from their multiple attempts to kill her and appease the Devil, she decides to fight back rather than wait.","Samara Weaving, Mark O'Brien, Adam Brody, Henry Czerny, Andie MacDowell, Melanie Scrofano, Kristian Bruun, Elyse Levesque, Nicky Guadagni, John Ralston, Liam MacDonald, Ethan Tavares, Hanneke Talbot, Celine Tsai, Daniela Barbosa, Chase Churchill, Etienne Kellici, Andrew Anthony, Elana Dunkelman, Kate Ziegler",Matt Bettinelli-Olpin,"Amazon Video, Hulu, Hulu, fuboTV, Hulu, YouTube TV, VIX , FXNow, Amazon Video, Apple TV Store, Fandango At Home, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, Amazon DVD / Blu-ray, Barnes & Noble, Amazon DVD / Blu-ray, Barnes & Noble",https://www.justwatch.com/us/movie/ready-or-not-2019
One Battle After Another(2025),(2025),7.7 (364k),2h 42min,"Mystery & Thriller, Crime, Comedy, Action & Adventure, Drama","After the revolutionary activists known as the French 75 disbanded, Bob Ferguson was left living undercover with his daughter Willa. But when a troubling villain resurfaces with a plot to kidnap Willa, Bob is lifted from his self-induced stupor to protect her. Reconnecting with his radical youth, Bob comes to see just how far removed he is from his past as Willa tries to orchestrate her own rescue.","Leonardo DiCaprio, Sean Penn, Chase Infiniti, Benicio del Toro, Regina Hall, Teyana Taylor, Wood Harris, Tony Goldwyn, D.W. Moffett, Paul Grimstad, Dijon, Kevin Tighe, John Hoogenakker, Eric Schweig, April Grace, Jim Downey, Alana Haim, Shayna McHayle, Brooklyn Demme, Sachi Diserafino",Paul Thomas Anderson,"HBO Max Amazon Channel, Amazon Video, HBO Max, HBO Max Amazon Channel, Apple TV, Plex, Amazon Video, Apple TV Store, Fandango At Home, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, Barnes & Noble, AMC Theatres, Fandango, Harkins Theatres, Amazon DVD / Blu-ray, GRUV, Barnes & Noble, Barnes & Noble, Barnes & Noble, Amazon DVD / Blu-ray, Zavvi, Amazon DVD / Blu-ray",https://www.justwatch.com/us/movie/the-battle-of-baktan-cross
Sinners(2025),(2025),7.5 (440k),2h 17min,"Horror, Music & Musical, Mystery & Thriller, Action & Adventure, Drama","In the early 1930s, a pair of twin brothers return to their hometown in Mississippi with plans to start a juke joint. Smoke and Stack enlist their young cousin Sammy to play music and reconnect with some familiar old friends who join to make the opening night a success. But the power of the blues draws unwanted attention from a dark evil that sets its sights on Sammy.","Michael B. Jordan, Hailee Steinfeld, Miles Caton, Jack O'Connell, Wunmi Mosaku, Jayme Lawson, Omar Benson Miller, Delroy Lindo, Li Jun Li, Thomas Pang, Lola Kirke, Peter Dreimanis, Buddy Guy, Saul Williams, Andrene Ward-Hammond, Tenaj L. Jackson, David Maldonado, Sam Malone, Ja'Quan Monroe-Henderson, Percy Bell",Ryan Coogler,"Amazon Prime Video, HBO Max Amazon Channel, Amazon Prime Video, HBO Max, Apple TV, HBO Max Amazon Channel, Amazon Prime Video with Ads, Plex, Amazon Video, Apple TV Store, Fandango At Home, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, JustWatch, AMC Theatres, Fandango, Marcus Theatres, GRUV, Amazon DVD / Blu-ray, Barnes & Noble, Amazon DVD / Blu-ray, Barnes & Noble, Amazon DVD / Blu-ray, Barnes & Noble",https://www.justwatch.com/us/movie/sinners-2025
The Housemaid(2025),(2025),6.8 (115k),2h 11min,"Horror, Music & Musical, Mystery & Thriller, Action & Adventure, Drama","Millie is struggling to find a steady job and pay the bills. But when she starts working as a housemaid for wealthy couple Andrew and Nina, she is relieved to find herself employed. Millie soon discovers that her new affluent employers however are harbouring a dangerous secret.","Sydney Sweeney, Amanda Seyfried, Brandon Sklenar, Michele Morrone, Elizabeth Perkins, Amanda Joy Erickson, Sarah Cooper, Megan Ferguson, Ellen Tamaki, Don DiPetta, Alaina Surgener, Alexandra Seal, Brian D. Cohen, Arabella Olivia Clark, Ken Barnett, Matt Walton, Maury Ginsberg, Piper Rae Patterson, Jeffrey Bean, Ellen Adair",Paul Feig,"Amazon Video, Starz Apple TV Channel, Starz Apple TV Channel, Starz Roku Premium Channel, Apple TV, Starz, Philo, Starz Amazon Channel, Amazon Video, Apple TV Store, Fandango At Home, FlixFling, Plex, Amazon Video, Apple TV Store, Fandango At Home, JustWatch, JustWatch, Fandango, Atom Tickets, Marcus Theatres, Amazon DVD / Blu-ray, Amazon DVD / Blu-ray, Amazon DVD / Blu-ray",https://www.justwatch.com/us/movie/the-housemaid-0
Send Help(2026),(2026),7.2 (35k),1h 53min,"Horror, Mystery & Thriller, Comedy","Linda and her misogynistic boss, Bradley, suffer a terrible plane crash together and find themselves as the only survivors. Deserted on an island, the pair must find a way to work together in order to live long enough to find help. But as Bradley tries to reassert his dominance on the island, Linda uses their new circumstances to turn their power dynamic upside down.","Rachel McAdams, Dylan O'Brien, Dennis Haysbert, Xavier Samuel, Chris Pang, Thaneth Warakulnukroh, Emma Raimi, Kristy Best, Francesca Waters",Sam Raimi,"Amazon Video, Apple TV Store, Apple TV Store, Fandango At Home, Apple TV, Amazon Video, Apple TV Store, Fandango At Home, AMC Theatres, Fandango, Cinemark, Cinepolis Cinemas, Harkins Theatres, Marcus Theatres, Amazon DVD / Blu-ray",https://www.justwatch.com/us/movie/send-help
